Domain,Area,Element,Months,Year,Unit,Value
"Temperature change","Europe","Standard Deviation","Meteorological year","1974","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","1975","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","1976","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","1977","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","1978","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","1979","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","1980","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","1981","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","1982","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","1983","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","1984","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","1985","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","1986","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","1987","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","1988","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","1989","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","1990","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","1991","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","1992","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","1993","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","1994","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","1995","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","1996","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","1997","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","1998","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","1999","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","2000","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","2001","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","2002","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","2003","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","2004","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","2005","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","2006","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","2007","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","2008","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","2009","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","2010","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","2011","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","2012","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","2013","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","2014","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","2015","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","2016","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","2017","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","2018","°C","0.464"
"Temperature change","Europe","Standard Deviation","Meteorological year","2019","°C","0.464"
"Temperature change","Oceania","Temperature change","Meteorological year","1961","°C","0.116"
"Temperature change","Oceania","Temperature change","Meteorological year","1962","°C","0.14"
"Temperature change","Oceania","Temperature change","Meteorological year","1963","°C","-0.118"
"Temperature change","Oceania","Temperature change","Meteorological year","1964","°C","-0.03"
"Temperature change","Oceania","Temperature change","Meteorological year","1965","°C","0.067"
"Temperature change","Oceania","Temperature change","Meteorological year","1966","°C","-0.231"
"Temperature change","Oceania","Temperature change","Meteorological year","1967","°C","-0.104"
"Temperature change","Oceania","Temperature change","Meteorological year","1968","°C","-0.195"
"Temperature change","Oceania","Temperature change","Meteorological year","1969","°C","0.096"
"Temperature change","Oceania","Temperature change","Meteorological year","1970","°C","0.032"
"Temperature change","Oceania","Temperature change","Meteorological year","1971","°C","-0.016"
"Temperature change","Oceania","Temperature change","Meteorological year","1972","°C","0.072"
"Temperature change","Oceania","Temperature change","Meteorological year","1973","°C","0.795"
"Temperature change","Oceania","Temperature change","Meteorological year","1974","°C","-0.297"
"Temperature change","Oceania","Temperature change","Meteorological year","1975","°C","0.077"
"Temperature change","Oceania","Temperature change","Meteorological year","1976","°C","-0.484"
"Temperature change","Oceania","Temperature change","Meteorological year","1977","°C","0.156"
"Temperature change","Oceania","Temperature change","Meteorological year","1978","°C","0.095"
"Temperature change","Oceania","Temperature change","Meteorological year","1979","°C","0.351"
"Temperature change","Oceania","Temperature change","Meteorological year","1980","°C","0.792"
"Temperature change","Oceania","Temperature change","Meteorological year","1981","°C","0.444"
"Temperature change","Oceania","Temperature change","Meteorological year","1982","°C","0.135"
"Temperature change","Oceania","Temperature change","Meteorological year","1983","°C","0.559"
"Temperature change","Oceania","Temperature change","Meteorological year","1984","°C","-0.151"
"Temperature change","Oceania","Temperature change","Meteorological year","1985","°C","0.292"
"Temperature change","Oceania","Temperature change","Meteorological year","1986","°C","0.327"
"Temperature change","Oceania","Temperature change","Meteorological year","1987","°C","0.306"
"Temperature change","Oceania","Temperature change","Meteorological year","1988","°C","0.875"
"Temperature change","Oceania","Temperature change","Meteorological year","1989","°C","0.143"
"Temperature change","Oceania","Temperature change","Meteorological year","1990","°C","0.488"
"Temperature change","Oceania","Temperature change","Meteorological year","1991","°C","0.716"
"Temperature change","Oceania","Temperature change","Meteorological year","1992","°C","0.202"
"Temperature change","Oceania","Temperature change","Meteorological year","1993","°C","0.378"
"Temperature change","Oceania","Temperature change","Meteorological year","1994","°C","0.163"
"Temperature change","Oceania","Temperature change","Meteorological year","1995","°C","0.367"
"Temperature change","Oceania","Temperature change","Meteorological year","1996","°C","0.518"
"Temperature change","Oceania","Temperature change","Meteorological year","1997","°C","0.289"
"Temperature change","Oceania","Temperature change","Meteorological year","1998","°C","1.038"
"Temperature change","Oceania","Temperature change","Meteorological year","1999","°C","0.547"
"Temperature change","Oceania","Temperature change","Meteorological year","2000","°C","0.143"
"Temperature change","Oceania","Temperature change","Meteorological year","2001","°C","0.342"
"Temperature change","Oceania","Temperature change","Meteorological year","2002","°C","0.703"
"Temperature change","Oceania","Temperature change","Meteorological year","2003","°C","0.771"
"Temperature change","Oceania","Temperature change","Meteorological year","2004","°C","0.632"
"Temperature change","Oceania","Temperature change","Meteorological year","2005","°C","1.091"
"Temperature change","Oceania","Temperature change","Meteorological year","2006","°C","0.614"
"Temperature change","Oceania","Temperature change","Meteorological year","2007","°C","0.824"
"Temperature change","Oceania","Temperature change","Meteorological year","2008","°C","0.543"
"Temperature change","Oceania","Temperature change","Meteorological year","2009","°C","0.9"
"Temperature change","Oceania","Temperature change","Meteorological year","2010","°C","0.666"
"Temperature change","Oceania","Temperature change","Meteorological year","2011","°C","0.212"
"Temperature change","Oceania","Temperature change","Meteorological year","2012","°C","0.276"
"Temperature change","Oceania","Temperature change","Meteorological year","2013","°C","1.396"
"Temperature change","Oceania","Temperature change","Meteorological year","2014","°C","1.083"
"Temperature change","Oceania","Temperature change","Meteorological year","2015","°C","0.997"
"Temperature change","Oceania","Temperature change","Meteorological year","2016","°C","1.163"
"Temperature change","Oceania","Temperature change","Meteorological year","2017","°C","1.11"
"Temperature change","Oceania","Temperature change","Meteorological year","2018","°C","1.096"
"Temperature change","Oceania","Temperature change","Meteorological year","2019","°C","1.37"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1961","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1962","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1963","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1964","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1965","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1966","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1967","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1968","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1969","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1970","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1971","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1972","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1973","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1974","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1975","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1976","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1977","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1978","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1979","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1980","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1981","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1982","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1983","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1984","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1985","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1986","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1987","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1988","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1989","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1990","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1991","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1992","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1993","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1994","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1995","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1996","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1997","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1998","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","1999","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","2000","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","2001","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","2002","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","2003","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","2004","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","2005","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","2006","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","2007","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","2008","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","2009","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","2010","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","2011","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","2012","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","2013","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","2014","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","2015","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","2016","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","2017","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","2018","°C","0.31"
"Temperature change","Oceania","Standard Deviation","Meteorological year","2019","°C","0.31"
